Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
perkRuleTwoDoubleTapRank5LongDesc,progression,perk Agi,,,,You can dash twice while airborne before touching the ground again.,,"Du kannst zweimal in der Luft dashen, bevor du wieder den Boden berührst.",Puedes impulsarte dos veces en el aire antes de volver a tocar el suelo.,Vous pouvez ruer deux fois en l'air avant de retoucher le sol.,Puoi scattare due volte in aria prima di toccare di nuovo terra.,着地するまでに空中で2回ダッシュできる。,다시 착지하기 전까지 공중에서 두 번 대시할 수 있습니다.,"Możesz wykonać dwa zrywy w powietrzu, zanim znów dotkniesz ziemi.",Você pode se impulsionar duas vezes no ar antes de tocar o chão de novo.,"Вы можете совершить два рывка в воздухе, прежде чем снова коснётесь земли.",Yere tekrar değmeden havada iki kez atılabilirsin.,在再次落地前，可以在空中冲刺两次。,在再次落地前，可以在空中衝刺兩次。
inpActSevenDashesDashName,UI,Controls Dialog,x,,,Dash,,Dash,Impulso,Ruée,Scatto,ダッシュ,대시,Zryw,Impulso,Рывок,Atılış,冲刺,衝刺
inpActSevenDashesDashDesc,UI,Controls Dialog,x,,,Dash in the direction you are moving.,,"Dasht in die Richtung, in die du dich bewegst.",Impúlsate en la dirección en la que te mueves.,Ruez-vous dans la direction de votre déplacement.,Scatta nella direzione in cui ti muovi.,移動している方向へダッシュする。,이동 중인 방향으로 대시합니다.,Wykonaj zryw w kierunku ruchu.,Impulsione-se na direção do movimento.,Рывок в сторону движения.,Hareket ettiğin yöne doğru atıl.,朝移动方向冲刺。,朝移動方向衝刺。
uiSevenDashesTab,UI,Menu,x,,,7 Dashes to Die,,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die,7 Dashes to Die
tipSevenDashesTab,UI,Menu,x,,,Settings for the dash ability.,,Einstellungen für die Dash-Fähigkeit.,Ajustes de la habilidad de impulso.,Réglages de la capacité de ruée.,Impostazioni dell'abilità di scatto.,ダッシュ能力の設定。,대시 능력 설정.,Ustawienia umiejętności zrywu.,Configurações da habilidade de impulso.,Настройки способности «рывок».,Atılış yeteneğinin ayarları.,冲刺能力设置。,衝刺能力設定。
uiSevenDashesCategory,UI,Menu,x,,,Dash,,Dash,Impulso,Ruée,Scatto,ダッシュ,대시,Zryw,Impulso,Рывок,Atılış,冲刺,衝刺
tipSevenDashesCategory,UI,Menu,x,,,"Strength, cooldown and cost of the dash.",,"Stärke, Abklingzeit und Kosten des Dashes.","Fuerza, tiempo de reutilización y coste del impulso.","Puissance, temps de recharge et coût de la ruée.","Potenza, ricarica e costo dello scatto.",ダッシュの強さ、クールダウン、コスト。,"대시의 세기, 재사용 대기시간, 비용.","Siła, czas odnowienia i koszt zrywu.","Força, recarga e custo do impulso.","Сила, перезарядка и стоимость рывка.","Atılışın gücü, bekleme süresi ve bedeli.",冲刺的强度、冷却与消耗。,衝刺的強度、冷卻與消耗。
uiSevenDashesEnabled,UI,Menu,x,,,Enabled,,Aktiviert,Activado,Activé,Attivo,有効,활성화,Włączone,Ativado,Включено,Etkin,启用,啟用
tipSevenDashesEnabled,UI,Menu,x,,,Turns the dash ability on or off completely.,,Schaltet die Dash-Fähigkeit komplett ein oder aus.,Activa o desactiva por completo la habilidad de impulso.,Active ou désactive complètement la capacité de ruée.,Attiva o disattiva completamente l'abilità di scatto.,ダッシュ能力を完全にオン/オフします。,대시 능력을 완전히 켜거나 끕니다.,Całkowicie włącza lub wyłącza umiejętność zrywu.,Liga ou desliga a habilidade de impulso completamente.,Полностью включает или выключает способность «рывок».,Atılış yeteneğini tamamen açar veya kapatır.,完全开启或关闭冲刺能力。,完全開啟或關閉衝刺能力。
uiSevenDashesRequirePerk,UI,Menu,x,,,Require perk,,Perk erforderlich,Requiere ventaja,Aptitude requise,Richiede il talento,パークを必要とする,특전 필요,Wymaga atutu,Exigir vantagem,Требуется навык,Yetenek gerekli,需要技能点,需要技能點
tipSevenDashesRequirePerk,UI,Menu,x,,,"When off, the dash works at full rank without spending skill points.",,"Ausgeschaltet funktioniert der Dash auf voller Stufe, ohne Skillpunkte auszugeben.","Si está desactivado, el impulso funciona al rango máximo sin gastar puntos de habilidad.","Désactivé, la ruée fonctionne au rang maximum sans dépenser de points de compétence.","Se disattivato, lo scatto funziona al grado massimo senza spendere punti abilità.",オフの場合、スキルポイントを使わずに最大ランクのダッシュが使える。,끄면 스킬 포인트를 쓰지 않고도 최대 등급으로 대시할 수 있습니다.,Po wyłączeniu zryw działa na maksymalnym poziomie bez wydawania punktów umiejętności.,"Desligado, o impulso funciona no nível máximo sem gastar pontos de habilidade.","Если выключено, рывок работает на максимальном ранге без траты очков навыков.","Kapalıyken atılış, yetenek puanı harcamadan tam seviyede çalışır.",关闭后，无需花费技能点即可使用满级冲刺。,關閉後，無需花費技能點即可使用滿級衝刺。
uiSevenDashesForce,UI,Menu,x,,,Force (%),,Stärke (%),Fuerza (%),Puissance (%),Potenza (%),強さ (%),세기 (%),Siła (%),Força (%),Сила (%),Güç (%),力度 (%),力度 (%)
tipSevenDashesForce,UI,Menu,x,,,Scales how far a dash carries you. Default 100%.,,"Skaliert, wie weit ein Dash dich trägt. Standard 100%.",Ajusta la distancia que recorre el impulso. Por defecto 100%.,Ajuste la distance parcourue par la ruée. Par défaut 100%.,Regola la distanza percorsa dallo scatto. Predefinito 100%.,ダッシュの到達距離を調整する。既定値は100%。,대시가 이동하는 거리를 조절합니다. 기본값 100%.,Skaluje dystans zrywu. Domyślnie 100%.,Ajusta a distância percorrida pelo impulso. Padrão 100%.,"Задаёт, как далеко уносит рывок. По умолчанию 100%.",Atılışın seni ne kadar uzağa taşıyacağını ölçekler. Varsayılan %100.,调整冲刺的距离。默认 100%。,調整衝刺的距離。預設 100%。
uiSevenDashesCooldown,UI,Menu,x,,,Cooldown (s),,Abklingzeit (s),Reutilización (s),Recharge (s),Ricarica (s),クールダウン (秒),재사용 대기시간 (초),Odnowienie (s),Recarga (s),Перезарядка (с),Bekleme (sn),冷却时间 (秒),冷卻時間 (秒)
tipSevenDashesCooldown,UI,Menu,x,,,Seconds between dashes at rank 1. Higher perk ranks shorten it.,,Sekunden zwischen zwei Dashes auf Stufe 1. Höhere Perk-Stufen verkürzen sie.,Segundos entre impulsos en el rango 1. Los rangos superiores lo reducen.,Secondes entre deux ruées au rang 1. Les rangs supérieurs le réduisent.,Secondi tra due scatti al grado 1. I gradi superiori la riducono.,ランク1でのダッシュ間隔（秒）。ランクが上がるほど短くなる。,1등급에서 대시 사이의 초. 등급이 오르면 짧아집니다.,Sekundy między zrywami na poziomie 1. Wyższe poziomy je skracają.,Segundos entre impulsos no nível 1. Níveis maiores reduzem o tempo.,Секунды между рывками на 1 ранге. Более высокие ранги сокращают их.,1. seviyede atılışlar arası saniye. Yüksek seviyeler kısaltır.,1 级时两次冲刺之间的秒数。等级越高越短。,1 級時兩次衝刺之間的秒數。等級越高越短。
uiSevenDashesStamina,UI,Menu,x,,,Stamina cost,,Ausdauerkosten,Coste de aguante,Coût en endurance,Costo in vigore,スタミナ消費,스태미나 소모,Koszt wytrzymałości,Custo de vigor,Расход выносливости,Dayanıklılık bedeli,耐力消耗,耐力消耗
tipSevenDashesStamina,UI,Menu,x,,,Stamina spent per dash. Set to 0 for a free dash.,,Ausdauer pro Dash. Auf 0 gesetzt kostet der Dash nichts.,Aguante gastado por impulso. A 0 el impulso es gratis.,"Endurance dépensée par ruée. À 0, la ruée est gratuite.",Vigore speso per scatto. A 0 lo scatto è gratuito.,ダッシュ1回あたりのスタミナ消費。0にすると消費なし。,대시 1회당 소모하는 스태미나. 0으로 두면 무료입니다.,Wytrzymałość zużywana na zryw. Wartość 0 czyni zryw darmowym.,"Vigor gasto por impulso. Em 0, o impulso é gratuito.",Выносливость за один рывок. При 0 рывок бесплатный.,Atılış başına harcanan dayanıklılık. 0 yaparsan bedava olur.,每次冲刺消耗的耐力。设为 0 则不消耗。,每次衝刺消耗的耐力。設為 0 則不消耗。
uiSevenDashesVolume,UI,Menu,x,,,Volume (%),,Lautstärke (%),Volumen (%),Volume (%),Volume (%),音量 (%),음량 (%),Głośność (%),Volume (%),Громкость (%),Ses seviyesi (%),音量 (%),音量 (%)
tipSevenDashesVolume,UI,Menu,x,,,Volume of the dash sound. Scales on top of the game master volume.,,Lautstärke des Dash-Sounds. Wirkt zusätzlich zur Gesamtlautstärke des Spiels.,Volumen del sonido del impulso. Se aplica sobre el volumen general del juego.,Volume du son de ruée. S'applique en plus du volume général du jeu.,Volume del suono dello scatto. Si applica oltre al volume generale del gioco.,ダッシュ音の音量。ゲームの全体音量にさらに掛かります。,대시 소리의 음량. 게임 전체 음량에 추가로 적용됩니다.,Głośność dźwięku zrywu. Działa dodatkowo do ogólnej głośności gry.,Volume do som do impulso. Aplica-se sobre o volume geral do jogo.,Громкость звука рывка. Действует поверх общей громкости игры.,Atılış sesinin seviyesi. Oyunun genel ses seviyesinin üzerine uygulanır.,冲刺音效的音量。在游戏总音量的基础上叠加。,衝刺音效的音量。在遊戲總音量的基礎上疊加。
uiSevenDashesDoubleTap,UI,Menu,x,,,Double tap to dash,,Dash per Doppeltipp,Impulso con doble toque,Ruée par double appui,Scatto con doppio tocco,ダブルタップでダッシュ,더블 탭으로 대시,Zryw podwójnym stuknięciem,Impulso com toque duplo,Рывок двойным нажатием,Çift dokunuşla atılış,双击冲刺,雙擊衝刺
tipSevenDashesDoubleTap,UI,Menu,x,,,"Dash when you tap a movement key twice, on top of the dash key. Off by default: a false detection costs stamina.",,"Dasht, wenn du eine Bewegungstaste zweimal antippst - zusätzlich zur Dash-Taste. Standardmäßig aus: eine Fehlerkennung kostet Ausdauer.","Impúlsate al pulsar dos veces una tecla de movimiento, además de la tecla de impulso. Desactivado por defecto: una detección falsa cuesta aguante.","Ruez en appuyant deux fois sur une touche de déplacement, en plus de la touche de ruée. Désactivé par défaut : une fausse détection coûte de l'endurance.","Scatta toccando due volte un tasto di movimento, oltre al tasto di scatto. Disattivato di default: un falso positivo costa vigore.",移動キーを2回タップしてもダッシュする（ダッシュキーに加えて）。既定はオフ：誤検出はスタミナを消費する。,이동 키를 두 번 누르면 대시합니다. 대시 키와 별도로 작동합니다. 기본값은 꺼짐: 오작동은 스태미나를 소모합니다.,"Wykonuje zryw po dwukrotnym stuknięciu klawisza ruchu, obok klawisza zrywu. Domyślnie wyłączone: błędne wykrycie kosztuje wytrzymałość.","Impulsiona ao tocar duas vezes numa tecla de movimento, além da tecla de impulso. Desligado por padrão: uma detecção falsa custa vigor.","Рывок по двойному нажатию клавиши движения, вдобавок к клавише рывка. По умолчанию выключено: ложное срабатывание тратит выносливость.","Bir hareket tuşuna iki kez basınca da atılırsın, atılış tuşuna ek olarak. Varsayılan kapalı: yanlış algılama dayanıklılık harcar.",连按两次移动键也能冲刺，与冲刺键并存。默认关闭：误触发会消耗耐力。,連按兩次移動鍵也能衝刺，與衝刺鍵並存。預設關閉：誤觸發會消耗耐力。
uiSevenDashesDoubleTapWindow,UI,Menu,x,,,Double tap window (ms),,Doppeltipp-Fenster (ms),Ventana de doble toque (ms),Fenêtre de double appui (ms),Finestra del doppio tocco (ms),ダブルタップ判定 (ミリ秒),더블 탭 인식 시간 (ms),Okno podwójnego stuknięcia (ms),Janela do toque duplo (ms),Окно двойного нажатия (мс),Çift dokunuş aralığı (ms),双击判定时间 (毫秒),雙擊判定時間 (毫秒)
tipSevenDashesDoubleTapWindow,UI,Menu,x,,,"Milliseconds allowed between the two taps. Lower it if dashes fire on their own, raise it if you cannot land one.",,"Erlaubte Millisekunden zwischen den beiden Tipps. Kleiner, wenn Dashes von allein auslösen; größer, wenn keiner zustande kommt.",Milisegundos permitidos entre los dos toques. Bájalo si se disparan impulsos solos; súbelo si no consigues ninguno.,"Millisecondes autorisées entre les deux appuis. Réduisez si des ruées partent toutes seules, augmentez si vous n'y arrivez pas.","Millisecondi consentiti tra i due tocchi. Abbassalo se gli scatti partono da soli, alzalo se non ci riesci.",2回のタップの間に許される時間（ミリ秒）。勝手に発動するなら短く、出せないなら長くする。,"두 번의 탭 사이에 허용되는 밀리초. 대시가 저절로 나가면 낮추고, 잘 안 나가면 높이세요.","Dozwolone milisekundy między dwoma stuknięciami. Zmniejsz, jeśli zrywy odpalają się same; zwiększ, jeśli nie potrafisz go wykonać.","Milissegundos permitidos entre os dois toques. Diminua se os impulsos dispararem sozinhos, aumente se você não conseguir.","Допустимые миллисекунды между двумя нажатиями. Уменьшите, если рывки срабатывают сами, увеличьте, если не выходит.","İki dokunuş arasında izin verilen milisaniye. Atılışlar kendiliğinden çıkıyorsa düşür, hiç çıkmıyorsa yükselt.",两次点击之间允许的毫秒数。若冲刺自己触发就调低，若难以触发就调高。,兩次點擊之間允許的毫秒數。若衝刺自己觸發就調低，若難以觸發就調高。
uiSevenDashesDebug,UI,Menu,x,,,Log dash distance,,Dash-Distanz protokollieren,Registrar distancia del impulso,Journaliser la distance de ruée,Registra la distanza dello scatto,ダッシュ距離をログに記録,대시 거리 기록,Zapisuj dystans zrywu,Registrar distância do impulso,Записывать дальность рывка,Atılış mesafesini kaydet,记录冲刺距离,記錄衝刺距離
tipSevenDashesDebug,UI,Menu,x,,,Writes the distance of every dash to the log. For tuning the force.,,Schreibt die Distanz jedes Dashes ins Log. Zum Einstellen der Stärke.,Escribe en el registro la distancia de cada impulso. Para ajustar la fuerza.,Écrit la distance de chaque ruée dans le journal. Pour régler la puissance.,Scrive nel log la distanza di ogni scatto. Per regolare la potenza.,各ダッシュの距離をログに書き出す。強さの調整用。,모든 대시의 거리를 로그에 기록합니다. 세기 조절용.,Zapisuje w logu dystans każdego zrywu. Do strojenia siły.,Escreve no log a distância de cada impulso. Para ajustar a força.,Записывает дальность каждого рывка в лог. Для настройки силы.,Her atılışın mesafesini günlüğe yazar. Gücü ayarlamak için.,把每次冲刺的距离写入日志。用于调整力度。,把每次衝刺的距離寫入日誌。用於調整力度。
